,importance
amihud,0.10290446151234198
beta_252,0.10204145265588149
hl_range,0.09637949495986446
dollar_volume,0.09180279007428743
skew_63,0.08826487513266906
mom_12_1,0.0769197797655419
vol_252,0.07586541221659479
rev_21,0.06286227745398137
dist_high_52w,0.060914965099211696
mom_6_1,0.059961957861333556
vol_21,0.05977323689200682
volume_shock,0.042680957618117896
rev_5,0.040665693500630054
idio_vol_252,0.038962645257537544
