model,vs residual return,vs total return,IC vs residual,IC vs total,net Sharpe,gross Sharpe,break-even bps
best_feature,0.15296233820980393,-0.018139868225941814,0.009527909927586455,-0.0030700759003391685,-1.6578819235054327,-0.41096141815235393,-3.3076255040821305
ridge,0.21430426475532116,-0.007882949661997601,0.014165756356803132,-0.0010987143713557662,-1.4452538951266267,-0.2975219610623588,-2.5964872116827227
gbm,0.26563095727427466,0.031028470942659626,0.016712293211515423,0.003385193131033404,-1.0231683850238245,0.03353665558662957,0.3176108791685656
