,eigenvalue,variance_share,corr_with_market,ann_volatility
PC1,139.92124563334164,0.2989770205840633,0.9965909376865922,187.77687264304427
PC2,25.806655414022845,0.0551424260983394,-0.006197931761363429,80.6428990323002
PC3,13.430557938653484,0.0286977733731912,0.037120571733784406,58.176460880159134
PC4,8.509263379649862,0.01818218670865355,0.04935016004490131,46.3069581345155
PC5,7.236287093034383,0.015462151908193122,0.036933930079899036,42.70297820345394
PC6,6.291646730509302,0.013443689595105343,0.007141591920376901,39.81827439867712
PC7,5.657850177581742,0.012089423456371241,0.006067102900130961,37.75947887286845
PC8,4.749856770073312,0.01014926660272075,0.014692449592949974,34.597166156471225
PC9,4.1860610955249244,0.008944574990437871,0.019765237693762434,32.47903009746877
PC10,3.6735727673321605,0.007849514460111453,0.006254095767531605,30.425981288492657
