lag,delta,msq,fitted_H
1,0.0025,0.004590033413043484,0.4503160925132985
2,0.005,0.008558273714093017,0.4503160925132985
3,0.0075,0.012325986931842246,0.4503160925132985
4,0.01,0.01597253971809845,0.4503160925132985
5,0.0125,0.01952527630393564,0.4503160925132985
6,0.015,0.02301427872151596,0.4503160925132985
7,0.0175,0.02644868771442751,0.4503160925132985
8,0.02,0.029836243140301085,0.4503160925132985
10,0.025,0.03648115386844739,0.4503160925132985
12,0.03,0.04298474417795144,0.4503160925132985
14,0.035,0.04938416232144714,0.4503160925132985
17,0.0425,0.058832916447375726,0.4503160925132985
21,0.0525,0.07116456498726499,0.4503160925132985
25,0.0625,0.08324655431463886,0.4503160925132985
29,0.0725,0.0951396713547241,0.4503160925132985
35,0.08750000000000001,0.11265572163346117,0.4503160925132985
42,0.105,0.13277793942018384,0.4503160925132985
50,0.125,0.1554210441477127,0.4503160925132985
60,0.15,0.18329917857381509,0.4503160925132985
