lag,delta,msq,fitted_H
1,0.0025,0.0605981972892068,0.24865954347213332
2,0.005,0.08492318551249373,0.24865954347213332
3,0.0075,0.10378283533121431,0.24865954347213332
4,0.01,0.1197516531810198,0.24865954347213332
5,0.0125,0.13378670645694207,0.24865954347213332
6,0.015,0.14656136755510663,0.24865954347213332
7,0.0175,0.15833876172783026,0.24865954347213332
8,0.02,0.1692892633880896,0.24865954347213332
10,0.025,0.18925476006448158,0.24865954347213332
12,0.03,0.2072178910128261,0.24865954347213332
14,0.035,0.22378496221218744,0.24865954347213332
17,0.0425,0.24666867861112673,0.24865954347213332
21,0.0525,0.2740180721122489,0.24865954347213332
25,0.0625,0.29882820196039317,0.24865954347213332
29,0.0725,0.32172639260483393,0.24865954347213332
35,0.08750000000000001,0.3530532179334102,0.24865954347213332
42,0.105,0.3864806268866096,0.24865954347213332
50,0.125,0.4215189004447406,0.24865954347213332
60,0.15,0.4615888422880145,0.24865954347213332
