T,skew
0.05,-1.0523519798746972
0.1,-0.8125027301735724
0.2,-0.6136445676001083
0.4,-0.4667241463740679
0.7,-0.3716247079932922
1.0,-0.31627092311197075
1.5,-0.2679321693933957
2.0,-0.23429509292577713
