,Momentum (12-1),Reversal (1w),Equal-Weight Benchmark
Total Return,0.018676438965733677,-0.20696697981360446,0.9145881478565243
CAGR,0.0037135972222452907,-0.045389444317661454,0.138950273763778
Ann. Volatility,0.060572530711698276,0.04859668502658361,0.12639164261679964
Sharpe,0.09147275366468248,-0.9314710054979954,1.0929547274977947
Sortino,0.07645410328319513,-0.8805017072091483,1.023427853393015
Max Drawdown,-0.17197272454995427,-0.2408328389672485,-0.16411883093253732
Calmar,0.021594105879078358,-0.1884686677792894,0.8466443062886239
Hit Rate,0.5347912524850894,0.4796488427773344,0.5576770087509945
