,value
N observations,598808.0
Mean (daily),0.0005472718230463011
Std (daily),0.016001540897574974
Skewness,0.24905764279794987
Excess kurtosis,64.83746599515024
1st percentile,-0.0426783779720423
99th percentile,0.04202038548492812
Worst day,-0.6261826182618262
Best day,1.009513150531617
