date,Name,close,prev_close,pct_change
2015-07-02,NI,16.99,45.45,-0.6261826182618262
2015-07-20,EBAY,28.57,66.29,-0.5690149343792428
2014-08-07,DISCK,39.78,81.22,-0.5102191578428958
2014-08-07,DISCA,40.975,83.02,-0.5064442303059503
2016-04-22,AMD,3.99,2.62,0.5229007633587786
2013-04-19,VRTX,85.6,52.87,0.6190656326839417
2016-05-20,LNT,35.91,17.87,1.009513150531617
