,Momentum (12-1),Reversal (1w)
Mean IC,0.012895292252389667,0.01566390056750811
Std IC,0.20752279443506438,0.13800524416884058
IC IR,0.062139160603991925,0.1135022126285602
t-stat (naive),1.951209221647115,3.9855280140599656
% positive,0.5121703853955375,0.545823195458232
N obs,986.0,1233.0
