,Momentum (12-1),Momentum (12-1),Reversal (1w),Reversal (1w)
,mean_ic,ic_ir,mean_ic,ic_ir
horizon,,,,
1,0.014364289139381606,0.06739035103137536,0.01243299989696889,0.07949287939672438
5,0.016065427396099227,0.0743301739897693,0.013014324994505909,0.08733209066071518
10,0.01415960001846023,0.06550508008062525,0.01566194006507405,0.10760696132438403
21,0.012895292252389667,0.062139160603991925,0.01566390056750811,0.1135022126285602
42,0.008165645166668064,0.03961548356142344,0.008491553883744481,0.06298133142674299
63,0.012792284423976846,0.06700094946737521,-0.0025697802544672097,-0.019317356772361023
126,0.0226334000137169,0.11953927969892494,-0.011484226437291157,-0.0806168400589862
252,0.02208535379500034,0.13799469877794313,-0.002522964928782374,-0.017887939440510956
