,Momentum (12-1),Reversal (1w)
Q1,0.09163068440254332,0.09135282656226726
Q2,0.11418125202283537,0.12507366165721157
Q3,0.1313157032617142,0.11647642756534181
Q4,0.1042638989807529,0.12132329549496154
Q5,0.13460757515986677,0.12190659705430457
