,Momentum (12-1),Reversal (1w)
Avg one-way turnover per rebalance,0.45745614035087767,1.5677500524218948
Median turnover,0.4315789473684214,1.5789473684210562
Rebalances,48.0,251.0
Annualized turnover,5.489473684210532,79.0146026420635
Gross Sharpe,0.16423003919809645,0.7050651038932406
Net Sharpe,0.09147275366468248,-0.9314710054979954
Break-even cost (bps),22.59686006135138,4.258382488698883
